date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
27-10-2023,5382,4933,4036,3139,2242
31-10-2023,5314,4871,3985,3100,2214
02-11-2023,5319,4876,3989,3103,2216
06-11-2023,5292,4851,3969,3087,2205
08-11-2023,5220,4785,3915,3045,2175
10-11-2023,5190,4757,3892,3027,2162
14-11-2023,5240,4804,3930,3057,2183
16-11-2023,5298,4857,3974,3091,2208
20-11-2023,5305,4863,3979,3095,2211
22-11-2023,5335,4891,4001,3112,2223
24-11-2023,5364,4917,4023,3129,2235
28-11-2023,5475,5019,4106,3194,2281
30-11-2023,5465,5010,4099,3188,2277
04-12-2023,5447,4993,4085,3177,2269
06-12-2023,5430,4977,4072,3167,2262
08-12-2023,5377,4929,4033,3136,2240
12-12-2023,5312,4869,3984,3098,2213
14-12-2023,5457,5002,4093,3183,2274
18-12-2023,5416,4965,4062,3159,2257
20-12-2023,5440,4987,4080,3174,2267
22-12-2023,5501,5042,4125,3209,2292
26-12-2023,5526,5066,4145,3224,2303
28-12-2023,5508,5049,4131,3213,2295
04-01-2022,4347,3984,3260,2536,1811
06-01-2022,4286,3929,3215,2500,1786
10-01-2022,4289,3932,3217,2502,1787
12-01-2022,4331,3970,3248,2526,1805
14-01-2022,4333,3972,3250,2528,1805
18-01-2022,4353,3990,3265,2539,1814
20-01-2022,4401,4035,3301,2568,1834
24-01-2022,4424,4056,3318,2581,1843
26-01-2022,4395,4029,3296,2564,1831
28-01-2022,4321,3961,3241,2521,1801
02-02-2022,4348,3986,3261,2536,1812
04-02-2022,4339,3977,3254,2531,1808
08-02-2022,4385,4020,3289,2558,1827
10-02-2022,4437,4067,3328,2588,1849
14-02-2022,4553,4174,3415,2656,1897
16-02-2022,4506,4131,3380,2629,1878
18-02-2022,4556,4176,3417,2658,1898
22-02-2022,4554,4175,3416,2657,1898
24-02-2022,4622,4237,3467,2696,1926
28-02-2022,4614,4230,3461,2692,1923
02-03-2022,4688,4297,3516,2735,1953
