Date,Gold Price(24 Karat),Gold Price(22 Karat),Gold Price(18 Karat),Gold Price(14 Karat),Gold Price(10 Karat)
28 Dec 2022,4808,4407,3606,2805,2003
30 Dec 2022,4848,4444,3636,2828,2020
4 Jan 2021,4563,4183,3422,2662,1901
6 Jan 2021,4525,4148,3394,2640,1885
8 Jan 2021,4363,3999,3272,2545,1818
12 Jan 2021,4368,4004,3276,2548,1820
14 Jan 2021,4341,3979,3256,2532,1809
18 Jan 2021,4323,3963,3242,2522,1801
20 Jan 2021,4383,4018,3288,2557,1826
22 Jan 2021,4356,3993,3267,2541,1815
26 Jan 2021,4341,3979,3256,2532,1809
28 Jan 2021,4324,3964,3243,2522,1802
2 Feb 2021,4306,3947,3229,2512,1794
4 Feb 2021,4213,3862,3160,2458,1756
8 Feb 2021,4292,3935,3219,2504,1788
10 Feb 2021,4312,3953,3234,2515,1797
12 Feb 2021,4259,3904,3194,2484,1774
16 Feb 2021,4194,3845,3146,2447,1748
18 Feb 2021,4140,3795,3105,2415,1725
22 Feb 2021,4218,3866,3163,2460,1757
24 Feb 2021,4197,3847,3148,2448,1749
26 Feb 2021,4105,3763,3079,2394,1710
2 Mar 2021,4092,3751,3069,2387,1705
4 Mar 2021,3984,3652,2988,2324,1660
8 Mar 2021,3972,3641,2979,2317,1655
10 Mar 2021,4036,3700,3027,2355,1682
12 Mar 2021,4036,3700,3027,2354,1682
16 Mar 2021,4037,3700,3028,2355,1682
18 Mar 2021,4055,3717,3041,2366,1690
22 Mar 2021,4048,3711,3036,2361,1687
24 Mar 2021,4051,3714,3039,2363,1688
26 Mar 2021,4036,3699,3027,2354,1682
30 Mar 2021,3980,3648,2985,2322,1658
2 Apr 2021,4083,3742,3062,2382,1701
6 Apr 2021,4119,3776,3089,2403,1716
8 Apr 2021,4205,3854,3153,2453,1752
12 Apr 2021,4176,3828,3132,2436,1740
14 Apr 2021,4189,3840,3142,2444,1745
16 Apr 2021,4261,3906,3195,2485,1775
20 Apr 2021,4310,3951,3232,2514,1796
22 Apr 2021,4305,3946,3229,2511,1794
26 Apr 2021,4282,3925,3212,2498,1784
28 Apr 2021,4262,3907,3197,2486,1776
30 Apr 2021,4214,3863,3160,2458,1756
4 May 2021,4219,3867,3164,2461,1758
6 May 2021,4295,3937,3222,2506,1790
10 May 2021,4338,3977,3254,2531,1808
12 May 2021,4306,3947,3229,2512,1794
14 May 2021,4344,3982,3258,2534,1810
18 May 2021,4397,4031,3298,2565,1832
20 May 2021,4400,4033,3300,2567,1833
24 May 2021,4397,4030,3298,2565,1832
26 May 2021,4430,4061,3322,2584,1846
28 May 2021,4432,4063,3324,2585,1847
2 Jun 2021,4475,4102,3357,2611,1865
4 Jun 2021,4433,4064,3325,2586,1847
8 Jun 2021,4443,4072,3332,2591,1851
10 Jun 2021,4456,4085,3342,2600,1857
14 Jun 2021,4392,4026,3294,2562,1830
16 Jun 2021,4317,3957,3238,2518,1799
18 Jun 2021,4206,3856,3155,2454,1753
22 Jun 2021,4249,3895,3187,2479,1771
24 Jun 2021,4235,3882,3176,2470,1764
28 Jun 2021,4247,3893,3185,2477,1770
30 Jun 2021,4228,3876,3171,2466,1762
2 Jul 2021,4280,3924,3210,2497,1784
6 Jul 2021,4315,3956,3237,2517,1798
8 Jul 2021,4333,3972,3250,2528,1806
12 Jul 2021,4331,3970,3248,2527,1805
14 Jul 2021,4373,4009,3280,2551,1822
16 Jul 2021,4349,3986,3262,2537,1812
20 Jul 2021,4336,3975,3252,2530,1807
22 Jul 2021,4326,3966,3245,2524,1803
26 Jul 2021,4294,3936,3220,2505,1789
28 Jul 2021,4328,3967,3246,2525,1803
30 Jul 2021,4337,3976,3253,2530,1807
3 Aug 2021,4322,3961,3241,2521,1801
5 Aug 2021,4295,3937,3221,2506,1790
9 Aug 2021,4146,3800,3109,2418,1727
11 Aug 2021,4175,3827,3131,2435,1740
13 Aug 2021,4246,3892,3184,2477,1769
17 Aug 2021,4271,3915,3203,2491,1779
19 Aug 2021,4257,3902,3193,2483,1774
23 Aug 2021,4300,3942,3225,2508,1792
25 Aug 2021,4269,3913,3201,2490,1779
27 Aug 2021,4296,3938,3222,2506,1790
31 Aug 2021,4259,3904,3194,2484,1774
2 Sep 2021,4250,3896,3188,2479,1771
6 Sep 2021,4287,3929,3215,2501,1786
8 Sep 2021,4250,3896,3187,2479,1771
